平定	0	0	0	0	0	3	0	0	
不学无术	7	0	0	0	0	0	0	0	
奸险	9	0	0	0	0	0	0	0	
平实	0	0	5	0	0	0	0	0	
安富尊荣	0	0	0	0	0	5	0	0	
矜才使气	5	0	0	0	0	0	0	0	
先人后己	0	0	5	0	0	0	0	0	
先人后已	0	0	7	0	0	0	0	0	
平安	0	0	0	0	0	7	0	0	
故作高深	0	0	0	5	0	0	0	0	
古劲	0	0	7	0	0	0	0	0	
让座	0	0	7	0	0	0	0	0	
秋荼密网	5	0	0	0	0	0	0	0	
好心好意	0	0	5	0	0	0	0	0	
前尘影事	0	0	0	0	5	0	0	0	
看低	0	0	0	3	0	0	0	0	
倒海翻江	0	0	0	0	0	7	0	0	
巾帼	0	0	7	0	0	0	0	0	
好色	7	0	0	0	0	0	0	0	
独善其身	1	0	0	0	0	3	0	0	
困境	0	0	0	0	7	0	0	0	
势利	7	0	0	0	0	0	0	0	
飞声腾实	0	0	5	0	0	0	0	0	
悲号	0	0	0	0	7	0	0	0	
应付	7	0	0	0	0	0	0	0	
倒打一瓦	5	0	0	0	0	0	0	0	
有理有据	0	0	12	0	0	0	0	0	
离蔬释蹻	0	0	0	0	0	7	0	0	
迷迷糊糊	0	0	0	0	0	0	0	5	
火箭筒射击－两头冒火	0	0	0	0	0	0	5	0	
可乘之隙	0	0	0	0	5	0	0	0	
阴谋诡计	7	0	0	3	0	0	0	0	
同甘共苦	0	0	6	0	0	0	0	0	
知法犯法	3	0	0	0	0	0	0	0	
宵衣旰食	0	0	5	0	0	0	0	0	
避让贤路	0	0	7	0	0	0	0	0	
不识一丁	5	0	0	0	0	0	0	0	
捉摸不定	9	0	1	0	0	0	0	0	
咂嘴咂舌	0	0	0	0	0	0	0	0	
有缘千里来相会	0	0	0	0	0	7	0	0	
驷马不追	0	0	7	0	0	0	0	0	
至毒	9	0	0	0	0	0	0	0	
还朴反古	0	0	0	0	0	5	0	0	
耍花腔	1	0	0	1	0	0	0	0	
谨行俭用	0	0	7	0	0	0	0	0	
经邦纬国	0	0	7	0	0	0	0	0	
鹿死不择音	0	0	0	0	0	0	0	3	
机变	0	0	8	0	0	0	0	0	
急茬儿	0	0	0	0	0	0	0	5	
饥不暇食	0	0	5	0	0	0	0	0	
遮人耳目	5	0	0	0	0	0	0	0	
兼顾	0	0	1	0	0	0	0	0	
多病	3	0	0	0	0	0	0	0	
目牛无全	0	0	5	0	0	0	0	0	
惨绿愁红	0	0	0	0	5	0	0	0	
竹篮子打水	9	0	1	0	0	0	0	0	
欢闹	0	0	0	0	0	7	0	0	
鱼游釜内	0	0	0	0	0	0	0	7	
追欢卖笑	7	0	0	0	0	0	0	0	
情真词切	0	0	7	0	0	0	0	0	
华封三祝	0	0	3	0	0	0	0	0	
遭遇	0	0	0	0	5	0	0	0	
放辟邪侈	9	0	0	0	0	0	0	0	
东抄西袭	5	0	0	0	0	0	0	0	
气色	0	0	5	0	0	0	0	0	
材高知深	0	0	5	0	0	0	0	0	
看中	0	0	5	0	0	0	0	0	
开展	0	0	0	0	0	7	0	0	
多疑	3	0	0	0	0	0	0	0	
令人生厌	5	0	0	7	0	0	0	0	
孤行	3	0	0	0	0	0	0	0	
看上	0	0	5	0	0	0	0	0	
数黑论黄	5	0	0	0	0	0	0	0	
胜任	0	0	5	0	0	0	0	0	
三槐九棘	0	0	5	0	0	0	0	0	
怀疑	9	0	0	0	0	0	0	0	
安眠	0	0	0	0	0	5	0	0	
迷恋骸骨	0	0	8	0	0	0	0	0	
开路先锋	0	0	3	0	0	0	0	0	
貌离神合	1	0	0	0	0	0	0	0	
恭肃	0	0	3	0	0	0	0	0	
克伐怨欲	3	0	0	0	0	0	0	0	
舒爽	0	0	8	0	0	0	0	0	
国耻	0	0	0	9	0	0	5	0	
文化大革命	5	0	0	0	0	0	0	0	
悲切	0	0	0	0	5	0	0	0	
再衰三涸	0	0	0	0	5	0	0	0	
虚伪	9	0	0	0	0	0	0	0	
揖让	0	0	7	0	0	0	0	0	
LM	0	0	0	5	0	0	0	0	
LJ	5	0	0	0	0	0	0	0	
饮胆尝血	0	0	5	0	0	0	0	0	
错讹	3	0	0	0	0	0	0	0	
下风	3	0	0	0	0	0	0	0	
抱负不凡	0	0	7	0	0	0	0	0	
求贤若渴	0	0	5	0	0	0	0	0	
气节	0	0	10	0	0	0	0	0	
其次	0	0	5	0	0	0	0	0	
情郎	0	0	7	0	0	0	0	0	
渭川千亩	0	0	7	0	0	0	0	0	
豪夺巧取	0	0	0	7	0	0	0	0	
困处	0	0	0	0	7	0	0	0	
诪张为幻	7	0	0	0	0	0	0	0	
骚动	5	0	0	0	0	0	0	0	
望其肩项	0	0	6	0	0	0	0	0	
后进领袖	0	0	9	0	0	0	0	0	
纵欲	5	0	0	0	0	0	0	0	
悲剧	0	0	0	0	7	0	0	0	
方桃譬李	0	0	5	0	0	0	0	0	
缓和	0	0	0	0	0	1	0	0	
圈拢	5	0	0	0	0	0	0	0	
狐媚魇道	0	0	0	7	0	0	0	0	
忧闷	0	0	0	0	0	0	0	7	
枯木逢春	0	0	0	0	0	7	0	0	
依依	0	0	3	0	0	0	0	0	
后患	1	0	0	1	0	0	0	0	
闻宠若惊	0	0	0	0	0	5	0	5	
追风逐日	0	0	7	0	0	0	0	0	
贺匾	0	0	5	0	0	3	0	0	
舵手	0	0	3	0	0	0	0	0	
涉世不深	3	0	0	0	0	0	0	0	
牺惶	0	0	0	0	3	0	0	0	
云愁海思	0	0	0	0	7	0	0	0	
后悔	0	0	0	0	3	0	0	0	
平妥	0	0	5	0	0	0	0	0	
极致	0	0	9	0	0	0	0	0	
孤俦寡匹	0	0	0	0	5	0	0	0	
风中之烛	0	0	0	0	5	0	0	0	
悲凄	0	0	0	0	5	0	0	0	
骑牛读汉书	0	0	5	0	0	0	0	0	
东播西流	0	0	0	0	5	0	0	0	
悲凉	0	0	0	0	7	0	0	0	
众口一词	0	0	5	0	0	0	0	0	
涩滞	3	0	0	0	0	0	0	3	
阿斗	7	0	0	0	0	0	0	0	
天花乱坠	3	0	0	0	0	0	0	0	
伶俜	0	0	0	0	5	0	0	0	
通材达识	0	0	7	0	0	0	0	0	
魂飘魄散	0	0	0	0	0	0	0	0	
郁葱	0	0	5	0	0	0	0	0	
裁汰	0	0	0	0	7	0	0	0	
罪该万死	0	0	0	9	0	0	0	0	
外宾	0	0	5	0	0	0	0	0	
麻痹	4	0	0	0	0	0	0	0	
形影相追	0	0	7	0	0	0	0	0	
宏材大略	0	0	7	0	0	0	0	0	
平复	0	0	6	0	0	0	0	0	
姑妄言之	3	0	0	0	0	0	0	0	
卑琐	9	0	0	0	0	0	0	0	
蚕食	0	0	0	3	0	0	0	0	
忸忸怩怩	0	0	0	0	0	0	0	9	
尊贵	0	0	6	0	0	0	0	0	
赐光	0	0	5	0	0	0	0	0	
附势趋炎	5	0	0	0	0	0	0	0	
后怕	0	0	0	0	0	0	0	8	
视而不见	0	0	0	5	0	0	0	0	
开心	3	0	0	0	0	0	0	0	
切齿痛恨	0	0	0	7	0	0	0	0	
秀美	0	0	5	0	0	0	0	0	
陪衬	3	0	0	0	0	0	0	0	
升迁	0	0	0	0	0	3	0	0	
沾沾自满	3	0	0	0	0	0	0	0	
高鸟尽良弓藏	7	0	0	0	0	0	0	0	
减师半德	5	0	0	0	0	0	0	0	
拨乱反正	0	0	5	0	0	0	0	0	
好胜	3	0	0	0	0	0	0	0	
损公肥私	7	0	0	0	0	0	0	0	
乐善好义	0	0	9	0	0	0	0	0	
神物	0	0	5	0	0	0	0	0	
国花	0	0	1	0	0	0	0	0	
与物无忤	0	0	7	0	0	0	0	0	
以身试法	5	0	0	0	0	0	0	0	
指使	5	0	0	0	0	0	0	0	
阳春有脚	0	0	7	0	0	0	0	0	
怀才抱器	0	0	7	0	0	0	0	0	
暗无天日	0	0	0	7	0	0	0	0	
令人讨厌	0	0	0	7	0	0	0	0	
长技	0	0	5	0	0	0	0	0	
依仗	0	0	0	7	0	0	0	0	
安生	0	0	0	0	0	5	0	0	
坐而待毙	5	0	0	0	0	0	0	0	
厚脸皮	1	0	0	0	0	0	0	0	
桂子飘香	0	0	5	0	0	5	0	0	
嚼墨喷纸	0	0	7	0	0	0	0	0	
困守	0	0	7	0	0	0	0	0	
依从	0	0	6	0	0	0	0	0	
赏罚不明	5	0	0	0	5	0	0	0	
如芒在背	0	0	0	0	0	0	0	5	
强弩之末	5	0	0	0	0	0	0	0	
无所回避	0	0	7	0	0	0	0	0	
幽默	0	0	3	0	0	0	0	0	
公平交易	0	0	3	0	0	0	0	0	
软骨头	5	0	0	0	0	0	0	0	
目不斜视	0	0	7	0	0	0	0	0	
宝刀不老	0	0	5	0	0	0	0	0	
光彩夺目	0	0	5	0	0	0	0	0	
坐观成败	3	0	0	0	0	0	0	0	
不觉技痒	5	0	0	0	0	0	0	0	
噫嘻	0	0	5	0	5	0	0	0	
错觉	3	0	0	0	0	0	0	0	
杅穿皮蠹	0	0	3	0	0	0	0	0	
爱则加诸膝，恶则坠诸渊	7	0	0	0	0	0	0	0	
局高蹐厚	0	0	0	0	0	0	0	7	
膏场绣澮	0	0	0	0	0	5	0	0	
强弩之极	0	0	0	0	7	0	0	0	
幸事	1	0	0	0	0	5	0	0	
得计	1	0	0	1	0	0	0	0	
逞性妄为	7	0	0	3	0	0	0	0	
龙精虎猛	0	0	7	0	0	0	0	0	
勇武	0	0	5	0	0	0	0	0	
情窦初开	0	0	1	0	0	0	0	0	
道殣相属	0	0	0	0	5	0	0	0	
看得上眼	0	0	3	0	0	0	0	0	
横眉瞪目	0	0	0	0	0	0	9	0	
冲撞	1	0	0	0	0	0	0	0	
犬儒	7	0	0	0	0	0	0	0	
献丑	0	0	5	0	0	0	0	0	
别开蹊径	0	0	5	0	0	0	0	0	
暴跳如雷	0	0	0	0	0	0	9	0	
灼见真知	0	0	5	0	0	0	0	0	
日角珠庭	0	0	5	0	0	0	0	0	
横加指责	9	0	0	0	0	0	0	0	
贫贱之交	0	0	3	0	0	0	0	0	
故宫禾黍	0	0	0	0	5	0	0	0	
亡国之音	7	0	0	0	0	0	0	0	
敲骨剥髓	7	0	0	0	0	0	0	0	
红花绿柳	0	0	8	0	0	0	0	0	
思恋	0	0	5	0	5	0	0	0	
枕稳衾温	0	0	0	0	0	5	0	0	
夙世怨家	0	0	0	7	0	0	0	0	
人人自危	0	0	0	0	0	0	0	3	
身退功成	0	0	0	0	0	5	0	0	
勇气	0	0	5	0	0	0	0	0	
曲学诐行	5	0	0	0	0	0	0	0	
泰山鸿毛	1	0	0	0	0	0	0	0	
镇定	0	0	5	0	0	0	0	0	
雪胎梅骨	0	0	7	0	0	0	0	0	
叠床架屋	5	0	0	0	0	0	0	0	
悍勇	0	0	1	0	0	0	0	0	
够格	0	0	8	0	0	0	0	0	
龙蟠虎伏	0	0	5	0	0	0	0	0	
贺喜	0	0	0	0	0	10	0	0	
慧心	0	0	14	0	0	0	0	0	
鱼烂河决	7	0	0	0	0	0	0	0	
计行言听	0	0	7	0	0	0	0	0	
弃邪从正	0	0	5	0	0	0	0	0	
昏昏欲睡	0	0	0	0	0	0	0	5	
开门见山	0	0	1	0	0	0	0	0	
不分皁白	5	0	0	0	0	0	0	0	
佞幸	0	0	0	7	0	0	0	0	
欢送	0	0	0	0	0	3	0	0	
拨浪鼓	0	0	0	0	0	5	0	0	
烂额焦头	0	0	0	0	0	0	0	7	
贫贱	0	0	0	0	3	0	0	0	
硬骨头	0	0	3	0	0	0	0	0	
大直若诎	0	0	7	0	0	0	0	0	
明人不做暗事	0	0	6	0	0	0	0	0	
骇异	0	0	0	0	0	0	0	1	
款款	0	0	1	0	0	0	0	0	
响当当	0	0	5	0	0	0	0	0	
平庸	3	0	0	0	0	0	0	0	
九间朝殿	0	0	5	0	0	0	0	0	
文奸济恶	7	0	0	0	0	0	0	0	
达官显宦	0	0	7	0	0	0	0	0	
夺标	0	0	0	0	0	3	0	0	
傲雪凌霜	0	0	5	0	0	0	0	0	
后果	1	0	0	0	0	0	0	0	
程门立雪	0	0	8	0	0	0	0	0	
文章宗工	0	0	7	0	0	0	0	0	
拨乱反治	0	0	5	0	0	0	0	0	
思慕	0	0	0	0	3	0	0	0	
施暴	7	0	0	5	0	0	0	0	
纪念塔	0	0	3	0	0	0	0	0	
天使	0	0	8	0	0	0	0	0	
痞子	0	0	0	3	0	0	0	0	
走召弓虽	0	0	12	0	0	0	0	0	
狗熊	7	0	0	0	3	0	0	0	
半间不界	5	0	0	0	0	0	0	0	
乐乐呵呵	0	0	0	0	0	7	0	0	
千载一遇	0	0	0	0	0	0	0	0	
拒虎进狼	0	0	0	0	5	0	0	0	
尽善尽美	0	0	7	0	0	0	0	0	
桃李满天下	0	0	12	0	0	0	0	0	
颐指气使	5	0	0	0	0	0	0	0	
吃紧	0	0	0	0	0	0	0	5	
诘诎聱牙	5	0	0	0	0	0	0	0	
文章经济	0	0	9	0	0	0	0	0	
目不窥园	0	0	3	0	0	0	0	0	
招风惹雨	5	0	0	0	0	0	0	0	
